Failure,Interarrival time
1,1.033374068
2,2.595480723
3,4.592027643
4,2.168895388
5,3.088993595
6,4.920942827
7,0.525109111
8,3.781419649
9,3.162208937
10,0.497475675
11,0.248805893
12,20.42692846
13,11.07025061
14,1.708948599
15,1.452541447
16,5.790388098
17,11.29185883
18,5.34940645
19,0.588104197
20,10.84668552
21,6.281162271
22,0.15881032
23,5.082625525
24,0.315447695
25,4.272545817
26,0.124982696
27,12.74034929
28,0.880202249
29,2.093999293
30,3.059312413
31,5.288409433
32,15.08444077
33,8.228567156
34,8.605290613
35,3.59837711
36,4.218805576
37,3.42775601
38,0.731431555
39,0.048552847
40,5.278926611
41,3.851100517
42,1.06550427
43,2.04198157
44,4.054108638
45,2.786935661
46,9.412013635
47,6.644903592
48,3.261960451
49,4.430161051
50,11.07506343
51,8.630446538
52,2.849786503
53,5.461836298
54,3.147085136
55,0.130476092
56,3.670944316
57,1.579793836
58,0.27257326
59,0.228663521
60,5.929830447
61,1.212422044
62,1.045359652
63,5.180021919
64,2.15641269
65,8.134493334
66,0.466808726
67,3.077763868
68,7.147174019
69,2.556232133
70,27.09241431
71,5.231320772
72,12.95738704
73,2.388202192
74,0.620487147
75,1.050936023
76,3.454270471
77,10.20745281
78,2.081281619
79,3.002071507
80,8.630617071
81,12.32746231
82,5.38803937
83,3.30925625
84,8.304656298
85,1.22157826
86,0.170151878
87,3.590852851
88,2.187653747
89,9.407865541
90,4.955330647
91,2.545497029
92,2.359204991
93,13.31021723
94,10.60857201
95,0.622297122
96,1.453104571
97,1.145831932
98,16.16242185
99,0.977385783
